@relation 'readsb-hist_filtered_by_Taiwan_manual_edges-weka.filters.unsupervised.attribute.Remove-R1-11,14,16-18,20-29_clustered'

@attribute Instance_number numeric
@attribute gs numeric
@attribute track numeric
@attribute squawk numeric
@attribute nav_heading numeric
@attribute ecef_x numeric
@attribute ecef_y numeric
@attribute ecef_z numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
195,338.1,72.26,6262,77.34,-3012480.770112,4917462.119475,2715699.768122,cluster15
196,339.3,72.15,6262,75.94,-3013180.247819,4916976.972228,2715981.040581,cluster15
197,341.2,72.26,6262,75.94,-3013868.537712,4916493.43747,2716253.631889,cluster15
198,344.7,72.09,6262,75.94,-3014560.355425,4915996.046567,2716529.216441,cluster15
199,346.6,72.19,6262,75.94,-3015193.272913,4915539.72012,2716777.699865,cluster15
200,348.5,72.29,6262,73.83,-3015963.31799,4915003.424218,2717089.899783,cluster15
201,349.2,72.5,6262,73.83,-3016636.707359,4914524.979897,2717350.789847,cluster15
202,351.4,72.44,6262,73.83,-3017363.058885,4914010.875906,2717634.956459,cluster15
203,353.6,72.38,6262,73.83,-3018059.877304,4913521.026374,2717907.750628,cluster15
204,355.8,72.33,6262,73.83,-3018793.041587,4912998.659612,2718198.660691,cluster15
205,356.4,72.53,6262,73.83,-3019500.304029,4912517.792255,2718478.759389,cluster15
206,357.4,72.58,6262,73.83,-3020221.175812,4912017.962276,2718759.836829,cluster15
207,358.3,72.63,6262,73.83,-3020902.014471,4911542.013197,2719024.078885,cluster15
208,360.6,72.57,6262,73.83,-3021638.979466,4911027.488585,2719313.208988,cluster15
209,362.8,72.51,6262,73.83,-3022382.394061,4910480.466649,2719599.934589,cluster15
210,364.7,72.61,6262,73.83,-3023070.507846,4909997.038033,2719868.706178,cluster15
211,365.6,72.66,6262,73.83,-3023833.79483,4909459.911957,2720168.404076,cluster15
212,457.1,79.92,3127,80.16,-2934413.362115,5058490.176953,2548257.932524,cluster10
213,455.9,80.02,3127,80.16,-2935441.106554,5057742.483588,2548443.90148,cluster10
214,454.1,79.85,3127,80.16,-2936273.509657,5057140.403788,2548603.497388,cluster10
215,452.5,79.56,3127,80.16,-2937317.695422,5056385.251809,2548803.216507,cluster10
216,450.9,79.26,3127,16.17,-2938251.632004,5055709.0228,2548991.890478,cluster10
217,447.3,77.08,3127,16.17,-2939136.390765,5055051.650257,2549199.337905,cluster10
218,444.4,73.93,3127,14.77,-2939997.358875,5054382.697342,2549475.752004,cluster10
219,437.4,67.13,3127,14.77,-2940742.418874,5053745.164099,2549804.015529,cluster10
220,431.4,61.47,3127,14.77,-2941525.840478,5052996.566597,2550288.618136,cluster10
221,424.4,56.05,3127,14.77,-2942073.745458,5052421.219701,2550720.22206,cluster10
222,412.5,228.93,7161,241.17,-3027401.72077,4915152.6595,2724126.308618,cluster12
223,419.7,52.07,3127,14.77,-2942809.474301,5051571.619283,2551458.850789,cluster10
