year,month,date,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,track,nic_baro,nac_p,nac_v,sil,sil_type
2025,04,01,00,24,25,8990a1,MDA1857 ,B738,26025,27400,448.4,198.6,-224,2604,1013.6,26016,26000,210.23,23.293259,120.263489,8,186,198.6,1,10,2,3,perhour
2025,04,01,00,24,30,8990a1,MDA1857 ,B738,26000,27350,449.1,198.84,-160,2604,1013.6,26016,26000,210.23,23.282455,120.259544,8,186,198.84,1,10,2,3,perhour
2025,04,01,00,24,35,8990a1,MDA1857 ,B738,26000,27350,450.0,198.8,-32,2604,1013.6,26016,26000,210.23,23.273233,120.256144,8,186,198.8,1,10,2,3,perhour
2025,04,01,00,24,40,8990a1,MDA1857 ,B738,26000,27375,450.0,198.8,0,2604,1013.6,26016,26000,210.23,23.262589,120.252203,8,186,198.8,1,10,2,3,perhour
2025,04,01,00,24,45,8990a1,MDA1857 ,B738,26000,27375,449.7,198.68,0,2604,1013.6,26016,26000,210.23,23.253113,120.248707,8,186,198.68,1,10,2,3,perhour
2025,04,01,00,24,50,8990a1,MDA1857 ,B738,26000,27375,450.6,198.64,-32,2604,1013.6,26016,26000,210.23,23.244556,120.245616,8,186,198.64,1,10,2,3,perhour
2025,04,01,00,24,55,8990a1,MDA1857 ,B738,26000,27350,450.6,198.64,-32,2604,1013.6,26016,26000,210.23,23.233803,120.241648,8,186,198.64,1,10,2,3,perhour
2025,04,01,00,25,00,8990a1,MDA1857 ,B738,26000,27350,451.6,198.6,0,2604,1013.6,26016,26000,210.23,23.22258,120.237571,8,186,198.6,1,10,2,3,perhour
2025,04,01,00,25,05,8990a1,MDA1857 ,B738,26000,27350,451.6,198.6,32,2604,1013.6,26016,26000,210.23,23.214298,120.234578,8,186,198.6,1,10,2,3,perhour
2025,04,01,00,25,10,8990a1,MDA1857 ,B738,26000,27375,451.3,198.48,32,2604,1013.6,26016,26000,210.23,23.206989,120.231934,8,186,198.48,1,10,2,3,perhour
